AS0     -Reserved AS-
AS24011 HEALTHWAIKATO-AS-AP Waikato District Health Board
AS24012 THOMSONREUTERS-SG 18 Science Park Drive
AS24014 BONDUNI-AS-AP Bond University
AS24015 SPINETWORKS-AS-AP SPI Networks, Electricity Distribution, Victoria
AS24016 ROL-MV-AS-AP Focus Infocom Pvt Ltd, ISP, Male Maldives
AS24017 FOXTEL-AS-AU-AP Foxtel Management Pty Ltd
AS24018 YAHOO-BACKBONE-AP Yahoo Backbone Network, Asia Pacific
AS24019 KLA-AS-AP KLA
AS24020 UITM-AS-AP University ITM, Shah Alam, Selangor Malaysia
AS24021 APNICRANDNET-TUI-AU TUI experiment
AS24022 GCGC-AS-KR GACHONGGIL COLLEGE
AS24023 JNPR-APAC-AS-AP Juniper Networks HK Ltd.
AS24024 HOLDEN-AS-AU Holden Internet AS, for Dual ISP redundancy. Holden
AS24025 HELIX-WIRELESS-AS-AP Helix Networks
AS24026 SUNGHWA-AS-KR Sunghwa Colege
AS24027 MOKPOCATHOLIC-AS-KR mokpo catholic university
AS24028 CNXNET-AS-MY Redtone-CNX Broadband Sdn Bhd
AS24029 NIXI-IN-AS NIXI is an IXP in India
AS24030 SCHENKER-AS-SG Schenker (Asia Pacific) Pte Ltd
AS24031 YAHOO-TPC Internet Content Provider
AS24032 AC3-AS ac3, Australian Centre for Advanced Computing and
AS24033 ACTIV8ME-AS-AP Australian Private Networks Pty Ltd
AS24035 MOFA-AS-VN Ministry of Foreign Affairs of Vietnam - MOFA
AS24036 RIVKIN-AS-AP Rivkin Discount Stockbroking Pty Ltd
AS24037 FUSION-AS-AU-AP Fusion Enterprises Pty Ltd
AS24038 FAPL-AS-AP Fujitsu Asia Pte Ltd, NOC and RIM
AS24039 ITC-GLOBAL-AS-AP ITC Global (Australia)
AS24040 D1-AS-TH DataOne Asia (Thailand) Co.,Ltd.
AS24041 VCUSTOMER-INDIA-AS-AP VCustomer Services India Pvt Ltd. Transit AS.
AS24042 BKKAIR-AS-TH-AP Bangkok Airways Co., Ltd.
AS24043 DATAPIPE-HK-AP DataPipe Hong Kong
AS24044 BHARTI-TRANSIT-AS-AP Leading Internet Transit IP Service Provider, New Delhi
AS24045 KADEO-AS-AP Kadeo Pty Ltd
AS24046 PERPETUAL-AP Perpetual Services Pty Ltd
AS24047 ISC-KIX1 Internet Systems Consortium, Inc.
AS24048 ISC-CGK1 Internet Systems Consortium, Inc.
AS24049 ISC-MAA1 Internet Systems Consortium, Inc.
AS24050 ISC-DAC1 Internet Systems Consortium, Inc.
AS24051 ISC-KHI1 Internet Systems Consortium, Inc.
AS24052 INDOSATM2-AS-ID INDOSATM2 Diamond Customer
AS24053 MEDNETWORK-AS-AP Quantum Internet
AS24054 AIRNZ-AS-AP Air New Zealand Limited
AS24055 DB-APAC-IN-AS Deutsche Bank AG-India Internet AS
AS24056 SINGTEL-EXPAN-JP Internet Data Centre
AS24057 AIGL-AS-AP PT. AIA FINANCIAL, Insurance company, Indonesia
AS24058 ITPARTNERS-AS-HK-AP IT Partners Limited
AS24059 CMNET2-AS-AP China Mobile communications corporation
AS24060 KCS-TH-AS KRUNG THAI COMPUTER SERVICES
AS24061 DIDATA-AS-AU-AP Dimension Data,
AS24063 DOCOMOINTERTOUCH-IN DOCOMO interTouch - India Operation
AS24065 JV14-AS-AP PO Box 848
AS24066 VNNIC-AS-VN Vietnam Internet Network Information Center
AS24067 TRUE-SUB3-AS-AP TRUE INTERNET Co.,Ltd.
AS24068 REDTONE-MY-AS Broadband Service Provider
AS24069 STAPLES-AS-AP 163 O'Riordan Street Mascot
AS24070 BAYANTEL-IPCORE Bayantel Inc. IP CORE AS number
AS24071 GARENA-PHIL-PH Garena Philippines Inc.
AS24072 PROMINA-AP Suncorp
AS24073 WORLDNET-AS-AP World Net Services Ltd.
AS24074 NZPOST-NZ-AP New Zealand Post
AS24075 MOE-NET-SG-AP MINISTRY OF EDUCATION, SINGAPORE
AS24076 SWU-AS-AP Srinakharin Wirot University,
AS24077 TMHK-TRANSIT-AS-HK-AP TMHK Global Transit
AS24078 TRADEME-AS-WLG-NZ Trade Me Limited
AS24079 DATAONE-PH-AS-AP DATAONE ASIA PHILIPPINES, INTERNET DATA
AS24080 ROSEITS-AS-IN Rose IT Solutions
AS24081 SPITECH-AS SPI Technologies Inc.
AS24083 SCCC-TH Siam City Cement Public Company Limited
AS24084 HCL-TECH-IN PLOT NO: 3A, SECTOR 126, SEZ, NOIDA
AS24085 QTSC-AS-VN Quang Trung Software City Development Company
AS24086 VIETTEL-AS-VN Viettel Corporation
AS24087 VNGT-AS-AP Vietnam New Generation Telecom
AS24088 HANOITELECOM-AS-AP Hanoi Telecom Joint Stock Company - HCMC Branch
AS24089 VNNIC-AS-AP Vietnam Internet Network Information Center
AS24090 UNISAINS-AS-AP Universiti Sains Malaysia (USM)
AS24091 INNOVE-MSDDNPLUS-AP Innove Multi-Service Data Network
AS24092 MOORECOLLEGE-AS-AP Moore Theological College
AS24093 BIGAIR-AP BIGAIR. Multihoming ASN
AS24094 DMEXCH-PH Digital Media Exchange
AS24095 VITRO-INTERNET-EXCHANGE ePLDT - Vitro Internet Data Center
AS24096 METLIFETW-AS-AP Metlife Taiwan Taipei Office Multihomed
AS24097 MAGNECOMP-CSLOXINFO-AS-TH-AP CSLOXINFO Project for Magnecomp Precision
AS24098 ETHERWAVE-AS Fish Telecom Pty. Ltd.
AS24100 WIREFREE-TRANSIT1-AP Wirefree Networks,
AS24101 UNE-AS-AP University of New England
AS24102 PEOPLESUPPORT-AS-CEBU-AP PeopleSupport Inc.
AS24103 GREENFIELD-AS-AP ToLuna is in to Online Data Collection for Market Research
AS24104 POLYFONE-AS-AU POLYFONE TELECOM - WIRELESS ISP - GLD CORE
AS24105 UNWIRED-CORE-AP Unwired Group, Fixed Wireless Broadband Access, Sydney
AS24106 DMPI-AS-AP DMPI, Digitel Mobile Philippines Inc.,
AS24107 COMMARC-ASN-AP CommArc Consulting Ltd AS
AS24108 PIPE-INT-AS-AP PIPE Networks Limited
AS24109 WNSNET WNS Global Services
AS24110 SEMA-AS-AP Sema Operations Pty Limited, Australian AS,
AS24111 NZWIRELESS-CO-NZ-AS-AP nzwireless LTD
AS24112 SCB-AS-HK-AP Standard Chartered Bank (Hong Kong) Limited
AS24113 EAIX-AP East Australian Internet Exchange
AS24114 ASN-EQIX-SGW-EE-AP Equinix Asia Pacific
AS24115 ASN-EQIX-MLPE Equinix
AS24116 ASN-EQIX-SYD-EE2-AP Equinix Asia Pacific
AS24117 TECHONE-AS-AP Technology One Ltd, Fortitude Valley, QLD
AS24118 VIRTELA1-AS-AP-1 Virtela Communications
AS24119 RCBC-AS RCBC Makati City Philippines
AS24120 AEMO-INET-AS-AU Australian Energy Market Operator LTD
AS24121 ASN-EQIX-OSAKA-AP Equinix Asia Pacific
AS24122 BDCOM-BD-AS-AP BDCOM Online Limited
AS24123 VIANET-AS-NP Vianet Communications Pvt Ltd
AS24124 EKTOO-BD-AS Ektoo Limited
AS24125 ELDERS-LIMITED-AS-AP Elders Limited, Rural Services Provider
AS24126 UNISYS-AP-UI-AS-AP Unisys AsiaPac Intranet Access to Internet
AS24127 IENERGIZER-AS-IN iEnergizer
AS24128 PHUKETINTERNET-AS Phuket Internet Co.. Ltd
AS24129 OFFICELINK-AS-AP OfficeLink Plus Pty Ltd
AS24130 PIPETRANSIT-AS-AP PIPE Networks Pty Limited
AS24131 SMARTMVAS-PH SMART MVAS NETWORK
AS24133 CHINA-21VIANET 21vianet(China) Inc.
AS24134 CNNIC-CNLINKNET-AP CNLink Networks Ltd.
AS24135 CNNIC-ITBN-AP BJ-SHUMA
AS24136 CNNIC-AP China Internet Network Information Center
AS24137 CNNIC-HNPCNET-AP HeNan Ping Coal Group
AS24138 CRNET_BJ_IDC-CNNIC-AP China Tietong Telecommunication Corporation
AS24139 CNNIC-WASU-AP WASU TV & Communication Holding Co.,Ltd.
AS24140 CHINA-21VIANET-AP 21VIANET(CHINA),INC
AS24141 CNNIC-DMTNET-AP Shanghai DMT Information Network cor.,LTD.
AS24142 CNNIC-BENNALONGNET-AP Shanghai Bennalong Network Technology Co.,LTD
AS24143 CNNIC-QCN-AP Qingdao Cable TV Network Center
AS24144 YITAIFENG-AS-AP Yitaifeng
AS24147 CNNIC-CBDTELENET-AP BEIJING CBD TELECOM CO,.LTD
AS24149 CNNIC-KNET-AP KNET Techonlogy (BeiJing) Co.,Ltd.
AS24150 CNNIC-SCN-AP SiChuan Broadcasting & TV Net Co.,LTD
AS24151 CNNIC-CRITICAL-AP China Internet Network Infomation Center
AS24152 CNIC-IPV6TESTBED-AP Computer Network Information Center of
AS24153 DIGICEL Digicell Entertainment Co., Ltd
AS24154 APBT-AS-TW Asia Pacific Broadband Fixed Lines Co., Ltd.
AS24155 APBW-AS-TW Asia Pacific Broadband Wireless Communications Inc
AS24156 SONY-TW-AS Sony Taiwan Limited
AS24157 VIBO-NET-AS Vibo Telecom Inc.
AS24158 TAIWANMOBILE-AS Taiwan Mobile Co., Ltd.
AS24159 TYCATV-AS Tong Ya Cable T.V. Co.Ltd
AS24160 CHIMEI-AS Chi Mei Corporation
AS24161 SIMPLENET-AS-TW Simple InfoComm Co., Ltd.
AS24162 LANWIN-AS-TW Lanwin Communication Co. Ltd
AS24163 UBBNET-AS-TW UNION BROADBAND NETWORK
AS24164 YJL-MEDIATV-NET YEONG  JIA  LEH CABLE TV CO., LTD.
AS24165 PHOENIX-NET-TW PHOENIX  CATV  CO.,LTD
AS24166 GTTNET-AS-TW Grand Tainan Technology Co.Ltd.
AS24167 ASGCNET Academia Sinica Grid Computing Center
AS24168 WEBTAIWAN-AS-TW WIS Internet Inc
AS24169 CHUAN-CHAN-NET-A Chuan Chan Co. Ltd.
AS24170 SPARQ-IDC-AS New Century InfoComm Tech. Co., Ltd.
AS24171 FITEL-AS-TW FIRST INTERNATIONAL TELECOM CORP.
AS24172 LINCHEIN-NET-AS Lin Chein Technology Co. Ltd.
AS24173 NETNAM-AS-AP Netnam Company
AS24174 EAB-AS-AP Eastern Asia Comercial Bank
AS24175 VINAREN-AS-AP VietNam Research and Education Network
AS24176 NETNAMHCMC-AS-AP Branch of Netnam Company in Ho Chi Minh City
AS24177 INET-AS-AP iNET Media Company Ltd
AS24178 GODREJ-AS-IN Godrej Infotech limited
AS24179 IMI-AS-AP IMI, Manufacturing Semiconductors and Electronics
AS24180 CCTLD-ID-AS-AP ccTLD-ID Anycast ASN
AS24181 THELOOP TheLoop
AS24182 INTERPUBLIC-AS-GISAP-AS Interpublic GIS
AS24183 DTS-ISP-CORE1-AP DTS LTD
AS24184 GOVERNMENT-NETWORK-MALDIVES National Centre for Information Technology, Male', Maldives
AS24185 I-FLEX-AS I-FLEX Solutions Limited, Software Development, Mumbai, India
AS24186 RAILTEL-AS-IN RailTel Corporation of India Ltd., Internet Service Provider, New Delhi
AS24187 KIRZ-AS-TH KIRZ Service Provider
AS24188 ASN-SURRENDERONLINE-AP Surrender Online
AS24189 IBM-GS-ITS-NZ-AP IBM New Zealand Limited,
AS24190 SET-AS-TH The Stock Exchange of Thailand
AS24192 DIGIWEB-NET-NZ-AP Digiweb New Zealand Limited,
AS24193 SIFY-IN Sify Limited Service Provider India
AS24194 PISHON-MAGICNET-AS-ID MAGICNET - Triple Play
AS24195 DHECYBER-AS-ID Dhecyber Flow Indonesia, PT
AS24196 GLOBAL-AS-ID PT Global Cibubur Access
AS24197 BIGNET-AS-ID Elka Prakarsa Utama, PT
AS24198 JUPITERNET-AS-ID Datakom Wijaya Pratama, P.T.
AS24199 DNK-AS-ID Dini Nusa Kusuma, P.T.
AS24200 CAKRAMEDIA-AS-ID PT. Cakramedia Indocyber
AS24201 ANDALASMEDIA-AS-ID PT. Andalas Media Informatika
AS24202 PAKTELNET-AS-ID PT. PASIFIKTEL INDOTAMA
AS24203 NAPXLNET-AS-ID PT Excelcomindo Pratama (Network Access Provider)
AS24204 SATNETCOM-AS-ID Satnetcom Balikpapan PT.
AS24205 BANKPERMATA-THIS-AS-IDNIC-ID PT. Bank Permata Tbk.
AS24206 CHANNEL11-AS-ID PT Cakra Lintas Nusantara
AS24207 EXPRESSNET-AS-ID PT. Net2Cyber Indonesia
AS24208 NAPXLNET-AS-ID PT Excelcomindo Pratama (Network Access Provider)
AS24209 INTERMEDIANET-AS-ID PT. Inter Media Lintas Nusa
AS24210 ANGKASAWAVE-AS-ID Angkasa Sarana Teknik Komunikasi PT
AS24211 DETIK-AS-ID PT. Detik Ini JUga
AS24212 JASNET-AS-ID PT. JASNITA TELEKOMINDO
AS24213 ARSEN-AS-ID PT. Arsen Kusuma Indonesia
AS24214 RESERVED-CSLOXINFO-TH CSLOXINFO
AS24215 AS24215-AMCOM-AP Amcom Telecommunications Ltd.
AS24216 VIRTELA-AS-AP-2 Mumbai, IN
AS24217 SANSIRI-CSLOX-AS-TH Sansiri
AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia
AS24219 NFI-AS-AP No Fuss Internet
AS24220 HOSTCENTRAL-AS-AP Hostcentral
AS24221 ZZONE-PH Z-Zone Philippines, Inc
AS24222 OFFICETIGER-ANNANAGAR-INDIA-AS OFFICETIGER DATABASE SYSTEMS INDIA PVT LTD
AS24223 PBBA-AS-AU Personal Broadband Australia, iBusrt Wireless Network provider.
AS24224 ISI-CEIC-AS-AP CEIC Data Co., Ltd.
AS24226 CATALYST-IT-AS-AP Catalyst IT
AS24228 BARNETWORK-AP BarNetwork Pty Limited
AS24229 KOCHI-IX IX-layers, Inc., Regional IXP in Japan, regional ISP
AS24231 ATU-AS-AP Multihomed network
AS24232 VIRTELA-AS-AP-3 Frankfurt, DL
AS24233 BIGAIR-AU BigAir Group,
AS24234 OMNI-TRANSIT-AP OMNIconnect VIC Peering Transit AS
AS24235 CHIEF-TW-AS-AP CHIEF Telecom Inc.
AS24236 YAHOO-BANGALORE-AS-AP Yahoo Bangalore Network Monitoring Center
AS24237 RESERVED-CSLOXINFO-TH CSLOXINFO
AS24238 DEDICATED-SERVERS-BNE-AS-AP Dedicated Servers - Brisbane
AS24240 WIZZ-WISP-AU-AP Wizz Communications
AS24241 LEVELUP-PH Level Up
AS24242 MFU-AS-AP Education Network, Chaingrai,Thailand
AS24243 TELARUS-AS-AP Telarus Pty Ltd.  xDSL Provider, Australia
AS24244 MULTINET-AFG-AS MULTINET AF
AS24245 PNAPSYD001-AS-AP Internap Network Services
AS24246 PNAPHKG001-AS-AP Internap Network Services
AS24247 PNAPSIN001-AS-AP Internap Network Services
AS24248 ASN-WADAI-U Wakayama University
AS24249 JWAY JWAY co., Ltd.
AS24250 MC-IDC Miyagin Computer Service Co.,ltd
AS24251 ICNTV-NET Iwakuni Cable Network Corporation
AS24252 JPRS-NAYUTA Japan Registry Service Co., Ltd.
AS24253 J-STREAM J-Stream Inc.
AS24254 KYOTO-SU Kyoto Sangyo University
AS24255 T-CATV Tannan Cable Television Corporation
AS24256 SOFTBANKBB SOFTBANKBB Corp.
AS24257 JPIX-64ES Japan Internet Exchange Co., Ltd.
AS24259 BC9 kanuma cable television Corporation
AS24260 KINJO-AS Board of trusty: Kinjo-Gakuen
AS24261 MIE-U Mie University
AS24262 HICOM HAMANASU INFORMATION Co., Ltd.
AS24263 HONDA-NET HONDA MOTOR Co., Ltd.
AS24264 KANAZAWA-IT Kanazawa Institute of Technology
AS24265 AGILIT NTT Communications Corporation
AS24268 SAINS National University Corporation Shizuoka University
AS24270 CRC-KCC CRC Solutions Corp.,
AS24271 ICTV Iruma CATV co.
AS24273 CANON CANON INC.
AS24274 ACTELION-JP Actelion Pharmaceuticals Japan Ltd.
AS24275 TOTO TOTO LTD.
AS24276 ICNET JCN Ichikawa Limited
AS24277 NIRAI Okinawa Cable Network Co.,Ltd
AS24278 USEN-NET USEN CORPORATION
AS24279 CAT-V SENDAI CATV CO.,LTD.
AS24280 HIS-TKIDC Hitachi Information Systems, Ltd.
AS24281 MCNET-T NTT SmartConnect Corporation
AS24282 KIR KAGOYA JAPAN Inc.
AS24283 MIEDEN-NET MIEDEN SYSTEM SOLUTION .LTD
AS24284 CYBERAGENT CyberAgent, Inc.
AS24286 WNI-AS Weathernews,Inc.
AS24287 TEIN2-JP National Institute of Informatics
AS24288 ACCUTECHS Accutechs Co., Ltd.
AS24289 KBN Kagawa T.V Broadcast Network Co,.Ltd
AS24290 HEARTNET Heart Network Co.,LTD
AS24291 MITSUI-NW MITSUI & CO., LTD.
AS24292 NSSOL NS Solutions Corporation
AS24293 INFOSAKYU FUJITSU SYSTEMS WEST LIMITED
AS24295 AS-PNAPOSK Internap Japan Co.,Ltd.
AS24296 YAHOO-2 Yahoo Japan Corporation
AS24297 FCN Osaka Prefecture University
AS24298 APOLLOGLOBAL-PH Apollo Global Net AS, Application Service Provider, Manila
AS24299 ISSP-AS Internet Solution & Service Provider Co., Ltd
AS24300 IBM-PH-AS-AP IBM Philippine
AS24301 BJHDBN-AS-AP Beijing Haidian Broadband Network
AS24303 GOLDCORP-AS-AU Gold Corporation, Precious Metal Manufacturer and Retail, Perth, Western Australia
AS24304 ARW-HK-AP Arrow Asia Hong Kong AS.
AS24305 BRITE-AS-AP BRITE NSW PTY LTD
AS24306 NETPLAY-AS-AP NETPLAY INC. is an internet gaming provider
AS24307 AFTABIT-AS AFTAB IT AS Number for BDIX Peering
AS24308 DAFFODILBD-AS Daffodil Online AS for BDIX Connection
AS24309 CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd.  Broadband Internet Service Provider INDIA
AS24310 NGDC-AS-AP Net-Glyph Data Center
AS24311 CNGI-CMNETV6-AS-AP China Mobile Communications Corporation IPv6 network
AS24312 AXGNDOTCOMDOTSG-SG-SG www.axgn.com.sg
AS24313 NSW-DET-AS NSW Department of Education and Training
AS24314 UPSI-AS-AP University Pendidikan Sultan Idris
AS24315 GATEWAY-TRANSIT-AS Gateway Internet. Transit AS Internet Service Provider Bunbury Australia
AS24316 POWERLINK-AS-AP Powerlink Queensland
AS24317 SHARP-CORP-AS-AU Sharp Corporation of Australia, Manufacturer, Sydney, Australia
AS24318 MINEDU-AS-NZ-AP Ministry of Education
AS24319 AKAMAI-TYO-AP Akamai Technologies Tokyo ASN
AS24320 RAILCOM Railcom - Commercial Center,
AS24321 OCENET-AS-AP OCE Sdn Bhd ISP
AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited,
AS24324 BCL-TRANSIT-AS-AP Kordia Limited
AS24325 COGETEL-AZCOMM-AS AZ Communications CO. Ltd, No 6C, Street 392, Boeung
AS24326 TTT-AS-AP TT&T PUBLIC COMPANY LIMITED 252/30 Muang Thai-Phatra Complex Tower1 24 Flr, Ratchadaphisek Road, Huaykwang, Bangkok.
AS24327 ZAPAPPINDIA-IN-AS-AP Zapapp india Pvt Ltd
AS24328 YRU-AS-AP Yala Rajabhat University Education
AS24329 ERX-STAR Elliott Advisors (HK) LTD, Financial, Central HK
AS24330 NICHOLLS-PRICE-AS-AU-AP Netregistry Pty Ltd
AS24331 EBAY-ASIA-AS eBay Inc ASIA ASN eCommerce San Jose
AS24332 LASIND-AS-AP Lason Inc
AS24333 JOBSDBHK Jobs DB Hong Kong Limited
AS24334 CYBERPORT-HK-AP Cyberport Hong Kong
AS24335 MSLOT-AS-AP Customer AS
AS24336 DIGITALBANK-JP DIGITALBANK, Inc., Regional ISP in Japan
AS24337 SKYTELECOM-AS-AP Skytelecom ,  Transit provider and ISP in Vientiene.
AS24338 SALMAT-AS-AU-AP Salmat
AS24339 ZARNEX-AS Zarnex PTY LTD Transit
AS24340 LOGAN-CITY-COUNCIL-AS-AP Optus Customer Network
AS24341 ALL-INTERACTIVE-DISTRIBUTION-AS-AP ALL INTERACTIVE DISTRIBUTION AS
AS24342 BRAC-BDMAIL-AS-BD BRAC BDMail Network Ltd.
AS24343 BDIGTAL-AU-AS B Digital Pty Ltd
AS24344 CMRU-AS-AP Chiangmai Rajabhat University
AS24346 CROSSCITY-MOTORWAY-AS-AP CrossCity Motorway
AS24347 INTERGEN-WGTN-AS-NZ Intergen Limted. Internet Service Provider - Wellington NZ.
AS24348 CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University
AS24349 CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
AS24350 CNGI-BJ-IX4-AS-AP CERNET2 IX at Beijing University of Posts and Telecommunications
AS24351 CNGI-BJ-IX5-AS-AP CERNET2 IX at Beijing University of Aeronautics and Astronautics
AS24352 CNGI-TJN-IX-AS-AP CERNET2 IX at Tianjin University
AS24353 CNGI-XA-IX-AS-AP CERNET2 IX at Xi'an Jiaotong University
AS24354 CNGI-LZH-IX-AS-AP CERNET2 IX at Lanzhou University
AS24355 CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China
AS24356 CNGI-CHQ-IX-AS-AP CERNET2 IX at Chongqing University
AS24357 CNGI-GZ-IX-AS-AP CERNET2 IX at South China University of Technology
AS24358 CNGI-WH-IX-AS-AP CERNET2 IX at Huazhong University of Science and Technology
AS24359 CNGI-CHS-IX-AS-AP CERNET2 IX at Central South University
AS24360 CNGI-ZHZ-IX-AS-AP CERNET2 IX at Zhengzhou University
AS24361 CNGI-NJ-IX-AS-AP CERNET2 IX at Southeast University
AS24362 CNGI-HEF-IX-AS-AP CERNET2 IX at University of Science and Technology of China
AS24363 CNGI-JNN-IX-AS-AP CERNET2 IX at Shandong University
AS24364 CNGI-SH-IX-AS-AP CERNET2 IX at Shanghai Jiaotong University
AS24365 CNGI-SH-IX2-AS-AP CERNET2 IX at Fudan University
AS24366 CNGI-SH-IX3-AS-AP CERNET2 IX at Tongji University
AS24367 CNGI-HZH-IX-AS-AP CERNET2 IX at Zhejiang University
AS24368 CNGI-XMN-IX-AS-AP CERNET2 IX at Xiamen University
AS24369 CNGI-SY-IX-AS-AP CERNET2 IX at Northeast University
AS24370 CNGI-DLN-IX-AS-AP CERNET2 IX at Dalian University of Technology
AS24371 CNGI-CHC-IX-AS-AP CERNET2 IX at Jilin University
AS24372 CNGI-HRB-IX-AS-AP CERNET2 IX at Harbin Institute of Technology
AS24373 VDSLNETWORK-MY VDSL NETWORK SDN BHD AS INTERNET SERVICE PROVIDER KUALA LUMPUR
AS24374 HCLBPO-SERVICES HCLBPO-IN
AS24375 LIBERTYFIN-AS-AP Liberty Financial Pty Ltd, Financial Services,
AS24376 YAHOO-CN2-AP Yahoo China Datacenter
AS24377 BAYANTEL-TANTRA-AS Bayan Telecommunications - Tantra AS
AS24378 ENGTAC-AS-TH-AP Total Access Communication PLC.
AS24379 JINET-SCIB Jasmine Internet Co, Ltd. for multihome Corporate
AS24380 SOHONET-AP Sohonet Asia Pacific IP network
AS24381 FASTHIT-AS-AP Web Hosting and Colocation Services
AS24383 CAI-STA CAI-STA Inc.
AS24384 DPE-AS-AP Dunedin Peering Exchange
AS24385 SMARTLINX3-AS-AP Smartlinx3 - Wellington Regional Internet Exchange
AS24386 NETWORKER-AS-AP Networker
AS24387 SIX-AS-AP SDN Internet Exchange
AS24388 CHIX-AS-AP Christchurch Internet Exchange
AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd.
AS24390 USP-AS-AP University of the South Pacific
AS24391 IGATE-AS iGATE Global Solutions Limited is a software development company and located in India, Asia PAC countries, USA and Europe
AS24392 ANKHNET-AS-AP Ankhnet Informations Pvt. Ltd., Internet Service
AS24393 SHR-AS-AP The Secretariat of House of the Representive
AS24394 DPC-AS-AU Department of the Premier and Cabinet
AS24395 DAY3_ASIA-PACIFIC_AS Day3 Pty Ltd
AS24396 BOC-AS-HK Bank Of China(Hong Kong) Limited
AS24397 STPI-LUCKNOW Software Technology Parks of India-Lucknow
AS24398 AUT-NZ-AP Auckland University of Technology
AS24399 ABN-PEERING-AS-AP Asia Broadcast Networks Peering AS
AS24400 CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd.
AS24402 CNNIC-URBANNET-AP Beijing Urban Network Co.,Ltd
AS24403 CNNIC-CNCITYNET-AP Beijing Kuanjie Net communication technology Ltd
AS24404 CNNIC-TOPNEWNET-CN-AP Beijing Topnew Info&Tech co,.LTD.
AS24406 CNNIC-CRITICAL-AP China Internet Network Infomation Center
AS24407 CNNIC-YOUXINNET-AP Harbin mengxun chuanshu transmission Information technology Co., Ltd.
AS24408 CNNIC-CRITICAL-AP China Internet Network Infomation Center
AS24409 CNNIC-CRITICAL-AP China Internet Network Infomation Center
AS24410 CNNIC-CRITICAL-AP China Internet Network Infomation Center
AS24413 CNNIC-SUNRISE-AP ShenZhen Sunrise Technology Co.,Ltd.
AS24414 CNNIC-CHT-AP Beijing horizon telecommunication
AS24415 CNNIC-JXBTIN-AP Jiangxi Broadcasting and TV information Network
AS24416 CNNIC-PRIMETELECOM-AP Beijing Primezone Technologies Inc.
AS24417 CNNIC-XMGDNET-AP Xiamen Broadcasting & TV Network Transmit Co.Ltd
AS24418 YUELIANNET Beijing YuelianXinxi Co.Ltd
AS24420 CNNIC-CAFNET-AP Chinese Academy of Forestry
AS24421 CNNIC-SHNAP-AP SHANGHAI NETWORK ACCESS POINT
AS24422 CNNIC-HTXX Huatong information network
AS24423 CNNIC-SETVN Fujian Southeast Radio & TV Network Co Ltd.
AS24424 CNNIC-GOOGLECN-AP Beijing Gu Xiang Information Technology Co.,Ltd.
AS24425 CNNIC-CNGITN China Tietong Telecommunication Corporation
AS24426 CNNIC-SINO-I Beijing CE Huatong Information Technology Co., Ltd.
AS24427 CNNIC-FREENET Freecomm Corporation
AS24428 CNNIC-FOUNDERBN-AP Beijing Founder Broadband Network Technology Co.,Ltd
AS24429 ALISOFT Aliyun Computing Co., LTD
AS24430 CNNIC-CHINAPOST-AP CHINA STATE POST BUREAU
AS24431 QUT-AS-AP Queensland University of Technology
AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212
AS24433 CQU-AS-AP Central Queensland University
AS24434 JCU-AS-AP James Cook University
AS24435 SUPERNET-PAKISTAN-AS-AP Supernet Limited Transit Autonomous System Number
AS24436 UQ-AS-AP University of Queensland
AS24437 UWA-AS-AP University of Western Australia
AS24438 DTDIGITAL-AP-AS BrightHost Pty Ltd
AS24439 NTAMAR-AS-AP MARSHALL ISLANDS NTA ISP AS
AS24440 CYBERNET-APII Cyber Internet Services Pakistan
AS24441 CITYLINK-AS-KH CityLink, Routing AS
AS24442 BMW-AS-AP BMW Asia Technology Sdn Bhd
AS24443 ISPNET-AS-AU ISP Networks Pty Ltd Service Provider Australia
AS24444 CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
AS24445 CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
AS24446 NETREGISTRY-AS-AP NetRegsitry Pty Ltd.
AS24447 CLARINET-TRANSIT-AS-AP Clarinet Australia
AS24448 NDSINDIA-AS NDS India Limited, Bangalore
AS24449 EMSD-AS-HK-AP Electrical and Mechanical Services Department
AS24450 NPS-AS-AU ASP providing Payroll Services.
AS24451 PDS-GROUP-AS-AP Philippine Dealing System,
AS24453 CRU-AS-AP Chandrakasem Rajabahat University
AS24454 SKYREACH-TRANSIT-AS-HKN-AP Loral Skynet Inc.
AS24455 ITONECSLOX-AS-TH ITONE (The Siam Cement Group)
AS24456 SYKES-PHILIPPINES Sykes Asia Inc. Call Center Philippines
AS24457 JABBAWOKIGROUP Jabbawoki Group Pty Ltd
AS24458 PLDT-IPCORE-AS-AP PLDT IPCORE Backbone AS
AS24459 NETVALUE-AS-AP NetValue Ltd
AS24460 CNCGROUP-OLD-CQINFO Old Chongqing CNC Broadband Networks Co.
AS24461 POGT-TRANSIT-AS P&O Global Technologies Transit AS Internet Service Provider
